Onset_Date_Surrogate_Key,Onset_Date_Key,Date_Full_Format,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend,Holiday,Season
0,1,2020-03-23,23,3,2020,Monday,2,13,N,N,Spring
1,2,2020-03-24,24,3,2020,Tuesday,3,13,N,N,Spring
2,3,2020-03-25,25,3,2020,Wednesday,4,13,N,N,Spring
3,4,2020-03-26,26,3,2020,Thursday,5,13,N,N,Spring
4,5,2020-03-27,27,3,2020,Friday,6,13,N,N,Spring
5,6,2020-03-28,28,3,2020,Saturday,7,13,Y,N,Spring
6,7,2020-03-29,29,3,2020,Sunday,1,14,Y,N,Spring
7,8,2020-03-30,30,3,2020,Monday,2,14,N,N,Spring
8,9,2020-03-31,31,3,2020,Tuesday,3,14,N,N,Spring
9,10,2020-04-01,1,4,2020,Wednesday,4,14,N,N,Spring
10,11,2020-04-02,2,4,2020,Thursday,5,14,N,N,Spring
11,12,2020-04-03,3,4,2020,Friday,6,14,N,N,Spring
12,13,2020-04-04,4,4,2020,Saturday,7,14,Y,N,Spring
13,14,2020-04-05,5,4,2020,Sunday,1,15,Y,N,Spring
14,15,2020-04-06,6,4,2020,Monday,2,15,N,N,Spring
15,16,2020-04-07,7,4,2020,Tuesday,3,15,N,N,Spring
16,17,2020-04-08,8,4,2020,Wednesday,4,15,N,N,Spring
17,18,2020-04-09,9,4,2020,Thursday,5,15,N,N,Spring
18,19,2020-04-10,10,4,2020,Friday,6,15,N,Y,Spring
19,20,2020-04-11,11,4,2020,Saturday,7,15,Y,N,Spring
20,21,2020-04-12,12,4,2020,Sunday,1,16,Y,N,Spring
21,22,2020-04-13,13,4,2020,Monday,2,16,N,Y,Spring
22,23,2020-04-14,14,4,2020,Tuesday,3,16,N,N,Spring
23,24,2020-04-15,15,4,2020,Wednesday,4,16,N,N,Spring
24,25,2020-04-16,16,4,2020,Thursday,5,16,N,N,Spring
25,26,2020-04-17,17,4,2020,Friday,6,16,N,N,Spring
26,27,2020-04-18,18,4,2020,Saturday,7,16,Y,N,Spring
27,28,2020-04-19,19,4,2020,Sunday,1,17,Y,N,Spring
28,29,2020-04-20,20,4,2020,Monday,2,17,N,N,Spring
29,30,2020-04-21,21,4,2020,Tuesday,3,17,N,N,Spring
30,31,2020-04-22,22,4,2020,Wednesday,4,17,N,N,Spring
31,32,2020-04-23,23,4,2020,Thursday,5,17,N,N,Spring
32,33,2020-04-24,24,4,2020,Friday,6,17,N,N,Spring
