Date_Key,Day,Month,Year,Day_of_Week,Week_in_Year,Weekend_YN,Holiday_YN,Season,Date_Full_Format
27102020,27,10,2020,Tuesday ,44,N,N,Fall,2020-10-27
28102020,28,10,2020,Wednesday,44,N,N,Fall,2020-10-28
29102020,29,10,2020,Thursday,44,N,N,Fall,2020-10-29
30102020,30,10,2020,Friday,44,N,N,Fall,2020-10-30
31102020,31,10,2020,Saturday,44,Y,Y,Fall,2020-10-31
1112020,1,11,2020,Sunday,44,Y,N,Fall,2020-11-01
2112020,2,11,2020,Monday,45,N,N,Fall,2020-11-02
3112020,3,11,2020,Tuesday,45,N,N,Fall,2020-11-03
4112020,4,11,2020,Wednesday,45,N,N,Fall,2020-11-04
5112020,5,11,2020,Thursday,45,N,N,Fall,2020-11-05
6112020,6,11,2020,Friday,45,N,N,Fall,2020-11-06
7112020,7,11,2020,Saturday,45,Y,N,Fall,2020-11-07
8112020,8,11,2020,Sunday,45,Y,N,Fall,2020-11-08
9112020,9,11,2020,Monday,46,N,N,Fall,2020-11-09
10112020,10,11,2020,Tuesday,46,N,N,Fall,2020-11-10
11112020,11,11,2020,Wednesday,46,N,Y,Fall,2020-11-11
12112020,12,11,2020,Thursday,46,N,N,Fall,2020-11-12
13112020,13,11,2020,Friday,46,N,N,Fall,2020-11-13
14112020,14,11,2020,Saturday,46,Y,N,Fall,2020-11-14
15112020,15,11,2020,Sunday,46,Y,N,Fall,2020-11-15
16112020,16,11,2020,Monday,47,N,N,Fall,2020-11-16
17112020,17,11,2020,Tuesday,47,N,N,Fall,2020-11-17
18112020,18,11,2020,Wednesday,47,N,N,Fall,2020-11-18
19112020,19,11,2020,Thursday,47,N,N,Fall,2020-11-19
20112020,20,11,2020,Friday,47,N,N,Fall,2020-11-20
21112020,21,11,2020,Saturday,47,Y,N,Fall,2020-11-21
22112020,22,11,2020,Sunday,47,Y,N,Fall,2020-11-22
23112020,23,11,2020,Monday,48,N,N,Fall,2020-11-23
24112020,24,11,2020,Tuesday,48,N,N,Fall,2020-11-24
25112020,25,11,2020,Wednesday,48,N,N,Fall,2020-11-25
26112020,26,11,2020,Thursday,48,N,N,Fall,2020-11-26
27112020,27,11,2020,Friday,48,N,N,Fall,2020-11-27
28112020,28,11,2020,Saturday,48,Y,N,Fall,2020-11-28
29112020,29,11,2020,Sunday,48,Y,N,Fall,2020-11-29
30112020,30,11,2020,Monday,49,N,N,Fall,2020-11-30
1122020,1,12,2020,Tuesday,49,N,N,Fall,2020-12-01
2122020,2,12,2020,Wednesday,49,N,N,Fall,2020-12-02
3122020,3,12,2020,Thursday,49,N,N,Fall,2020-12-03
4122020,4,12,2020,Friday,49,N,N,Fall,2020-12-04
5122020,5,12,2020,Saturday,49,Y,N,Fall,2020-12-05
6122020,6,12,2020,Sunday,49,Y,N,Fall,2020-12-06
7122020,7,12,2020,Monday,50,N,N,Fall,2020-12-07
8122020,8,12,2020,Tuesday,50,N,N,Fall,2020-12-08
9122020,9,12,2020,Wednesday,50,N,N,Fall,2020-12-09
10122020,10,12,2020,Thursday,50,N,N,Fall,2020-12-10
11122020,11,12,2020,Friday,50,N,N,Fall,2020-12-11
12122020,12,12,2020,Saturday,50,Y,N,Fall,2020-12-12
13122020,13,12,2020,Sunday,50,Y,N,Fall,2020-12-13
14122020,14,12,2020,Monday,51,N,N,Fall,2020-12-14
15122020,15,12,2020,Tuesday,51,N,N,Fall,2020-12-15
16122020,16,12,2020,Wednesday,51,N,N,Fall,2020-12-16
17122020,17,12,2020,Thursday,51,N,N,Fall,2020-12-17
18122020,18,12,2020,Friday,51,N,N,Fall,2020-12-18
19122020,19,12,2020,Saturday,51,Y,N,Fall,2020-12-19
20122020,20,12,2020,Sunday,51,Y,N,Fall,2020-12-20
21122020,21,12,2020,Monday,52,N,N,Winter,2020-12-21
22122020,22,12,2020,Tuesday,52,N,N,Winter,2020-12-22
23122020,23,12,2020,Wednesday,52,N,N,Winter,2020-12-23
24122020,24,12,2020,Thursday,52,N,N,Winter,2020-12-24
25122020,25,12,2020,Friday,52,N,Y,Winter,2020-12-25
26122020,26,12,2020,Saturday,52,Y,N,Winter,2020-12-26
27122020,27,12,2020,Sunday,52,Y,N,Winter,2020-12-27
28122020,28,12,2020,Monday,53,N,Y,Winter,2020-12-28
29122020,29,12,2020,Tuesday,53,N,N,Winter,2020-12-29
30122020,30,12,2020,Wednesday,53,N,N,Winter,2020-12-30
31122020,31,12,2020,Thursday,53,N,Y,Winter,2020-12-31
1012021,1,1,2021,Friday,53,N,Y,Winter,2021-01-01
2012021,2,1,2021,Saturday,53,Y,N,Winter,2021-01-02
3012021,3,1,2021,Sunday,53,Y,N,Winter,2021-01-03
4012021,4,1,2021,Monday,1,N,N,Winter,2021-01-04
5012021,5,1,2021,Tuesday,1,N,N,Winter,2021-01-05
6012021,6,1,2021,Wednesday,1,N,N,Winter,2021-01-06
