Specimen_Date_Surrogate_Key,Specimen_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
700,27102020,27,10,2020,Tuesday ,44,N,N,Fall,2020-10-27
701,28102020,28,10,2020,Wednesday,44,N,N,Fall,2020-10-28
702,29102020,29,10,2020,Thursday,44,N,N,Fall,2020-10-29
703,30102020,30,10,2020,Friday,44,N,N,Fall,2020-10-30
704,31102020,31,10,2020,Saturday,44,Y,Y,Fall,2020-10-31
705,1112020,1,11,2020,Sunday,44,Y,N,Fall,2020-11-01
706,2112020,2,11,2020,Monday,45,N,N,Fall,2020-11-02
707,3112020,3,11,2020,Tuesday,45,N,N,Fall,2020-11-03
708,4112020,4,11,2020,Wednesday,45,N,N,Fall,2020-11-04
709,5112020,5,11,2020,Thursday,45,N,N,Fall,2020-11-05
710,6112020,6,11,2020,Friday,45,N,N,Fall,2020-11-06
711,7112020,7,11,2020,Saturday,45,Y,N,Fall,2020-11-07
712,8112020,8,11,2020,Sunday,45,Y,N,Fall,2020-11-08
713,9112020,9,11,2020,Monday,46,N,N,Fall,2020-11-09
714,10112020,10,11,2020,Tuesday,46,N,N,Fall,2020-11-10
715,11112020,11,11,2020,Wednesday,46,N,Y,Fall,2020-11-11
716,12112020,12,11,2020,Thursday,46,N,N,Fall,2020-11-12
717,13112020,13,11,2020,Friday,46,N,N,Fall,2020-11-13
718,14112020,14,11,2020,Saturday,46,Y,N,Fall,2020-11-14
719,15112020,15,11,2020,Sunday,46,Y,N,Fall,2020-11-15
720,16112020,16,11,2020,Monday,47,N,N,Fall,2020-11-16
721,17112020,17,11,2020,Tuesday,47,N,N,Fall,2020-11-17
722,18112020,18,11,2020,Wednesday,47,N,N,Fall,2020-11-18
723,19112020,19,11,2020,Thursday,47,N,N,Fall,2020-11-19
724,20112020,20,11,2020,Friday,47,N,N,Fall,2020-11-20
725,21112020,21,11,2020,Saturday,47,Y,N,Fall,2020-11-21
726,22112020,22,11,2020,Sunday,47,Y,N,Fall,2020-11-22
727,23112020,23,11,2020,Monday,48,N,N,Fall,2020-11-23
728,24112020,24,11,2020,Tuesday,48,N,N,Fall,2020-11-24
729,25112020,25,11,2020,Wednesday,48,N,N,Fall,2020-11-25
730,26112020,26,11,2020,Thursday,48,N,N,Fall,2020-11-26
731,27112020,27,11,2020,Friday,48,N,N,Fall,2020-11-27
732,28112020,28,11,2020,Saturday,48,Y,N,Fall,2020-11-28
733,29112020,29,11,2020,Sunday,48,Y,N,Fall,2020-11-29
734,30112020,30,11,2020,Monday,49,N,N,Fall,2020-11-30
735,1122020,1,12,2020,Tuesday,49,N,N,Fall,2020-12-01
736,2122020,2,12,2020,Wednesday,49,N,N,Fall,2020-12-02
737,3122020,3,12,2020,Thursday,49,N,N,Fall,2020-12-03
738,4122020,4,12,2020,Friday,49,N,N,Fall,2020-12-04
739,5122020,5,12,2020,Saturday,49,Y,N,Fall,2020-12-05
740,6122020,6,12,2020,Sunday,49,Y,N,Fall,2020-12-06
741,7122020,7,12,2020,Monday,50,N,N,Fall,2020-12-07
742,8122020,8,12,2020,Tuesday,50,N,N,Fall,2020-12-08
743,9122020,9,12,2020,Wednesday,50,N,N,Fall,2020-12-09
744,10122020,10,12,2020,Thursday,50,N,N,Fall,2020-12-10
745,11122020,11,12,2020,Friday,50,N,N,Fall,2020-12-11
746,12122020,12,12,2020,Saturday,50,Y,N,Fall,2020-12-12
747,13122020,13,12,2020,Sunday,50,Y,N,Fall,2020-12-13
748,14122020,14,12,2020,Monday,51,N,N,Fall,2020-12-14
749,15122020,15,12,2020,Tuesday,51,N,N,Fall,2020-12-15
750,16122020,16,12,2020,Wednesday,51,N,N,Fall,2020-12-16
