Mobility_key,Date,Subregion,Province,Retail_and_recreation,Grocery_and_phramacy,Parks,Transit_stations,Workplaces,Residential
0,2020-02-15,Ottawa Division,Ontario,13.0,6.0,68.0,3.0,1.0,-2.0
1,2020-02-16,Ottawa Division,Ontario,30.0,26.0,128.0,3.0,4.0,-4.0
2,2020-02-17,Ottawa Division,Ontario,-30.0,-53.0,52.0,-40.0,-62.0,14.0
3,2020-02-18,Ottawa Division,Ontario,-5.0,9.0,-8.0,-6.0,-2.0,1.0
4,2020-02-19,Ottawa Division,Ontario,0.0,6.0,-8.0,-8.0,1.0,0.0
5,2020-02-20,Ottawa Division,Ontario,6.0,4.0,0.0,-8.0,1.0,0.0
6,2020-02-21,Ottawa Division,Ontario,-1.0,0.0,9.0,-9.0,-8.0,2.0
7,2020-02-22,Ottawa Division,Ontario,17.0,11.0,54.0,5.0,4.0,-2.0
8,2020-02-23,Ottawa Division,Ontario,18.0,17.0,38.0,4.0,6.0,-2.0
9,2020-02-24,Ottawa Division,Ontario,4.0,5.0,13.0,-6.0,2.0,0.0
10,2020-02-25,Ottawa Division,Ontario,1.0,10.0,2.0,-6.0,3.0,-1.0
11,2020-02-26,Ottawa Division,Ontario,-5.0,6.0,-14.0,-2.0,1.0,1.0
12,2020-02-27,Ottawa Division,Ontario,-25.0,-25.0,-29.0,-22.0,-31.0,13.0
13,2020-02-28,Ottawa Division,Ontario,-2.0,3.0,-12.0,2.0,-3.0,2.0
14,2020-02-29,Ottawa Division,Ontario,13.0,13.0,-8.0,4.0,7.0,-2.0
15,2020-03-01,Ottawa Division,Ontario,17.0,22.0,17.0,3.0,9.0,-2.0
16,2020-03-02,Ottawa Division,Ontario,2.0,6.0,-7.0,-5.0,4.0,0.0
17,2020-03-03,Ottawa Division,Ontario,0.0,5.0,-10.0,-2.0,4.0,0.0
18,2020-03-04,Ottawa Division,Ontario,3.0,9.0,-9.0,-2.0,5.0,0.0
19,2020-03-05,Ottawa Division,Ontario,9.0,8.0,-5.0,-4.0,-1.0,0.0
20,2020-03-06,Ottawa Division,Ontario,-3.0,-2.0,-10.0,-1.0,5.0,1.0
21,2020-03-07,Ottawa Division,Ontario,18.0,12.0,16.0,5.0,6.0,-3.0
22,2020-03-08,Ottawa Division,Ontario,16.0,20.0,30.0,0.0,6.0,-2.0
23,2020-03-09,Ottawa Division,Ontario,4.0,8.0,11.0,-8.0,3.0,0.0
24,2020-03-10,Ottawa Division,Ontario,-2.0,4.0,-9.0,-8.0,3.0,1.0
25,2020-03-11,Ottawa Division,Ontario,2.0,12.0,-7.0,-5.0,3.0,0.0
26,2020-03-12,Ottawa Division,Ontario,8.0,35.0,-3.0,-8.0,0.0,1.0
27,2020-03-13,Ottawa Division,Ontario,-8.0,41.0,-22.0,-18.0,-6.0,5.0
28,2020-03-14,Ottawa Division,Ontario,-9.0,24.0,3.0,-17.0,-2.0,3.0
29,2020-03-15,Ottawa Division,Ontario,-13.0,14.0,10.0,-25.0,-6.0,3.0
30,2020-03-16,Ottawa Division,Ontario,-25.0,17.0,-23.0,-52.0,-48.0,17.0
31,2020-03-17,Ottawa Division,Ontario,-43.0,-5.0,-35.0,-59.0,-59.0,22.0
32,2020-03-18,Ottawa Division,Ontario,-46.0,-9.0,-23.0,-61.0,-61.0,23.0
33,2020-03-19,Ottawa Division,Ontario,-47.0,-11.0,-20.0,-64.0,-64.0,24.0
34,2020-03-20,Ottawa Division,Ontario,-54.0,-19.0,-35.0,-64.0,-64.0,26.0
35,2020-03-21,Ottawa Division,Ontario,-55.0,-24.0,-9.0,-54.0,-39.0,13.0
36,2020-03-22,Ottawa Division,Ontario,-53.0,-24.0,21.0,-58.0,-39.0,10.0
37,2020-03-23,Ottawa Division,Ontario,-55.0,-27.0,-53.0,-74.0,-68.0,26.0
38,2020-03-24,Ottawa Division,Ontario,-56.0,-23.0,-30.0,-73.0,-70.0,27.0
39,2020-03-25,Ottawa Division,Ontario,-62.0,-33.0,-39.0,-74.0,-72.0,29.0
40,2020-03-26,Ottawa Division,Ontario,-61.0,-33.0,-47.0,-76.0,-73.0,30.0
41,2020-03-27,Ottawa Division,Ontario,-61.0,-28.0,-3.0,-71.0,-71.0,29.0
42,2020-03-28,Ottawa Division,Ontario,-62.0,-34.0,-13.0,-66.0,-49.0,14.0
43,2020-03-29,Ottawa Division,Ontario,-66.0,-44.0,-61.0,-76.0,-48.0,14.0
44,2020-03-30,Ottawa Division,Ontario,-61.0,-34.0,-50.0,-77.0,-74.0,28.0
45,2020-03-31,Ottawa Division,Ontario,-56.0,-25.0,-18.0,-72.0,-74.0,27.0
46,2020-04-01,Ottawa Division,Ontario,-58.0,-31.0,-28.0,-72.0,-73.0,28.0
