Reported_Date_Surrogate_Key,Reported_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
200,27102020,27,10,2020,Tuesday ,44,N,N,Fall,2020-10-27
201,28102020,28,10,2020,Wednesday,44,N,N,Fall,2020-10-28
202,29102020,29,10,2020,Thursday,44,N,N,Fall,2020-10-29
203,30102020,30,10,2020,Friday,44,N,N,Fall,2020-10-30
204,31102020,31,10,2020,Saturday,44,Y,Y,Fall,2020-10-31
205,1112020,1,11,2020,Sunday,44,Y,N,Fall,2020-11-01
206,2112020,2,11,2020,Monday,45,N,N,Fall,2020-11-02
207,3112020,3,11,2020,Tuesday,45,N,N,Fall,2020-11-03
208,4112020,4,11,2020,Wednesday,45,N,N,Fall,2020-11-04
209,5112020,5,11,2020,Thursday,45,N,N,Fall,2020-11-05
210,6112020,6,11,2020,Friday,45,N,N,Fall,2020-11-06
211,7112020,7,11,2020,Saturday,45,Y,N,Fall,2020-11-07
212,8112020,8,11,2020,Sunday,45,Y,N,Fall,2020-11-08
213,9112020,9,11,2020,Monday,46,N,N,Fall,2020-11-09
214,10112020,10,11,2020,Tuesday,46,N,N,Fall,2020-11-10
215,11112020,11,11,2020,Wednesday,46,N,Y,Fall,2020-11-11
216,12112020,12,11,2020,Thursday,46,N,N,Fall,2020-11-12
217,13112020,13,11,2020,Friday,46,N,N,Fall,2020-11-13
218,14112020,14,11,2020,Saturday,46,Y,N,Fall,2020-11-14
219,15112020,15,11,2020,Sunday,46,Y,N,Fall,2020-11-15
220,16112020,16,11,2020,Monday,47,N,N,Fall,2020-11-16
221,17112020,17,11,2020,Tuesday,47,N,N,Fall,2020-11-17
222,18112020,18,11,2020,Wednesday,47,N,N,Fall,2020-11-18
223,19112020,19,11,2020,Thursday,47,N,N,Fall,2020-11-19
224,20112020,20,11,2020,Friday,47,N,N,Fall,2020-11-20
225,21112020,21,11,2020,Saturday,47,Y,N,Fall,2020-11-21
226,22112020,22,11,2020,Sunday,47,Y,N,Fall,2020-11-22
227,23112020,23,11,2020,Monday,48,N,N,Fall,2020-11-23
228,24112020,24,11,2020,Tuesday,48,N,N,Fall,2020-11-24
229,25112020,25,11,2020,Wednesday,48,N,N,Fall,2020-11-25
230,26112020,26,11,2020,Thursday,48,N,N,Fall,2020-11-26
231,27112020,27,11,2020,Friday,48,N,N,Fall,2020-11-27
232,28112020,28,11,2020,Saturday,48,Y,N,Fall,2020-11-28
233,29112020,29,11,2020,Sunday,48,Y,N,Fall,2020-11-29
234,30112020,30,11,2020,Monday,49,N,N,Fall,2020-11-30
235,1122020,1,12,2020,Tuesday,49,N,N,Fall,2020-12-01
236,2122020,2,12,2020,Wednesday,49,N,N,Fall,2020-12-02
237,3122020,3,12,2020,Thursday,49,N,N,Fall,2020-12-03
238,4122020,4,12,2020,Friday,49,N,N,Fall,2020-12-04
239,5122020,5,12,2020,Saturday,49,Y,N,Fall,2020-12-05
240,6122020,6,12,2020,Sunday,49,Y,N,Fall,2020-12-06
241,7122020,7,12,2020,Monday,50,N,N,Fall,2020-12-07
242,8122020,8,12,2020,Tuesday,50,N,N,Fall,2020-12-08
243,9122020,9,12,2020,Wednesday,50,N,N,Fall,2020-12-09
244,10122020,10,12,2020,Thursday,50,N,N,Fall,2020-12-10
245,11122020,11,12,2020,Friday,50,N,N,Fall,2020-12-11
246,12122020,12,12,2020,Saturday,50,Y,N,Fall,2020-12-12
247,13122020,13,12,2020,Sunday,50,Y,N,Fall,2020-12-13
248,14122020,14,12,2020,Monday,51,N,N,Fall,2020-12-14
249,15122020,15,12,2020,Tuesday,51,N,N,Fall,2020-12-15
250,16122020,16,12,2020,Wednesday,51,N,N,Fall,2020-12-16
251,17122020,17,12,2020,Thursday,51,N,N,Fall,2020-12-17
252,18122020,18,12,2020,Friday,51,N,N,Fall,2020-12-18
253,19122020,19,12,2020,Saturday,51,Y,N,Fall,2020-12-19
254,20122020,20,12,2020,Sunday,51,Y,N,Fall,2020-12-20
255,21122020,21,12,2020,Monday,52,N,N,Winter,2020-12-21
256,22122020,22,12,2020,Tuesday,52,N,N,Winter,2020-12-22
257,23122020,23,12,2020,Wednesday,52,N,N,Winter,2020-12-23
258,24122020,24,12,2020,Thursday,52,N,N,Winter,2020-12-24
259,25122020,25,12,2020,Friday,52,N,Y,Winter,2020-12-25
260,26122020,26,12,2020,Saturday,52,Y,N,Winter,2020-12-26
261,27122020,27,12,2020,Sunday,52,Y,N,Winter,2020-12-27
262,28122020,28,12,2020,Monday,53,N,Y,Winter,2020-12-28
263,29122020,29,12,2020,Tuesday,53,N,N,Winter,2020-12-29
264,30122020,30,12,2020,Wednesday,53,N,N,Winter,2020-12-30
265,31122020,31,12,2020,Thursday,53,N,Y,Winter,2020-12-31
266,1012021,1,1,2021,Friday,53,N,Y,Winter,2021-01-01
267,2012021,2,1,2021,Saturday,53,Y,N,Winter,2021-01-02
268,3012021,3,1,2021,Sunday,53,Y,N,Winter,2021-01-03
269,4012021,4,1,2021,Monday,1,N,N,Winter,2021-01-04
270,5012021,5,1,2021,Tuesday,1,N,N,Winter,2021-01-05
271,6012021,6,1,2021,Wednesday,1,N,N,Winter,2021-01-06
272,7012021,7,1,2021,Thursday,1,N,N,Winter,2021-01-07
273,8012021,8,1,2021,Friday,1,N,N,Winter,2021-01-08
274,9012021,9,1,2021,Saturday,1,Y,N,Winter,2021-01-09
275,10012021,10,1,2021,Sunday,1,Y,N,Winter,2021-01-10
276,11012021,11,1,2021,Monday,2,N,N,Winter,2021-01-11
277,12012021,12,1,2021,Tuesday,2,N,N,Winter,2021-01-12
278,13012021,13,1,2021,Wednesday,2,N,N,Winter,2021-01-13
279,14012021,14,1,2021,Thursday,2,N,N,Winter,2021-01-14
280,15012021,15,1,2021,Friday,2,N,N,Winter,2021-01-15
281,16012021,16,1,2021,Saturday,2,Y,N,Winter,2021-01-16
282,17012021,17,1,2021,Sunday,2,Y,N,Winter,2021-01-17
283,18012021,18,1,2021,Monday,3,N,N,Winter,2021-01-18
284,19012021,19,1,2021,Tuesday,3,N,N,Winter,2021-01-19
285,20012021,20,1,2021,Wednesday,3,N,N,Winter,2021-01-20
286,21012021,21,1,2021,Thursday,3,N,N,Winter,2021-01-21
287,22012021,22,1,2021,Friday,3,N,N,Winter,2021-01-22
288,23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
289,24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
290,25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
291,26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
292,27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
293,28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
294,29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
295,30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
296,31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
297,1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
298,2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
299,3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
300,4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
301,5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
302,6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
