Specimen_Date_Surrogate_Key,Specimen_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
400,27102020,27,10,2020,Tuesday ,44,N,N,Fall,2020-10-27
401,28102020,28,10,2020,Wednesday,44,N,N,Fall,2020-10-28
402,29102020,29,10,2020,Thursday,44,N,N,Fall,2020-10-29
403,30102020,30,10,2020,Friday,44,N,N,Fall,2020-10-30
404,31102020,31,10,2020,Saturday,44,Y,Y,Fall,2020-10-31
405,1112020,1,11,2020,Sunday,44,Y,N,Fall,2020-11-01
406,2112020,2,11,2020,Monday,45,N,N,Fall,2020-11-02
407,3112020,3,11,2020,Tuesday,45,N,N,Fall,2020-11-03
408,4112020,4,11,2020,Wednesday,45,N,N,Fall,2020-11-04
409,5112020,5,11,2020,Thursday,45,N,N,Fall,2020-11-05
410,6112020,6,11,2020,Friday,45,N,N,Fall,2020-11-06
411,7112020,7,11,2020,Saturday,45,Y,N,Fall,2020-11-07
412,8112020,8,11,2020,Sunday,45,Y,N,Fall,2020-11-08
413,9112020,9,11,2020,Monday,46,N,N,Fall,2020-11-09
414,10112020,10,11,2020,Tuesday,46,N,N,Fall,2020-11-10
415,11112020,11,11,2020,Wednesday,46,N,Y,Fall,2020-11-11
416,12112020,12,11,2020,Thursday,46,N,N,Fall,2020-11-12
417,13112020,13,11,2020,Friday,46,N,N,Fall,2020-11-13
418,14112020,14,11,2020,Saturday,46,Y,N,Fall,2020-11-14
419,15112020,15,11,2020,Sunday,46,Y,N,Fall,2020-11-15
420,16112020,16,11,2020,Monday,47,N,N,Fall,2020-11-16
421,17112020,17,11,2020,Tuesday,47,N,N,Fall,2020-11-17
422,18112020,18,11,2020,Wednesday,47,N,N,Fall,2020-11-18
423,19112020,19,11,2020,Thursday,47,N,N,Fall,2020-11-19
424,20112020,20,11,2020,Friday,47,N,N,Fall,2020-11-20
425,21112020,21,11,2020,Saturday,47,Y,N,Fall,2020-11-21
426,22112020,22,11,2020,Sunday,47,Y,N,Fall,2020-11-22
427,23112020,23,11,2020,Monday,48,N,N,Fall,2020-11-23
