Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-01,2021,1,1,,-0.3,,-6.2,,-3.3,,21.3,,0,,,,,,2.7,,4,,7,,32,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-02,2021,1,2,,0,,-4.6,,-2.3,,20.3,,0,,,,,,5.5,,11,,6,,34,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-03,2021,1,3,,-1.9,,-5.9,,-3.9,,21.9,,0,,,,,,0,,10,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-04,2021,1,4,,-0.6,,-2.8,,-1.7,,19.7,,0,,,,,,0.2,,9,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-05,2021,1,5,,-1.2,,-2.9,,-2,,20,,0,,,,,,0.7,,8,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-06,2021,1,6,,-1.7,,-4.3,,-3,,21,,0,,,,,,0,,9,,32,,31,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-07,2021,1,7,,-2.1,,-7.2,,-4.7,,22.7,,0,,,,,,0,,8,,32,,33,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-08,2021,1,8,,-4.1,,-11.1,,-7.6,,25.6,,0,,,,,,0,,8,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-09,2021,1,9,,-1.5,,-8.6,,-5.1,,23.1,,0,,,,,,0,,8,,34,,34,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-10,2021,1,10,,-6,,-10.4,,-8.2,,26.2,,0,,,,,,0,,8,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-11,2021,1,11,,1.6,,-6.1,,-2.2,,20.2,,0,,,,,,0.4,,8,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-12,2021,1,12,,1.2,,-1.6,,-0.2,,18.2,,0,,,,,,0,,7,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-13,2021,1,13,,0.6,,-2.1,,-0.7,,18.7,,0,,,,,,4,,9,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-14,2021,1,14,,0.9,,-0.1,,0.4,,17.6,,0,,,,,,0.2,,8,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-15,2021,1,15,,0.6,,-1.4,,-0.4,,18.4,,0,,,,,,0.2,,9,,8,,36,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-16,2021,1,16,,0.6,,-0.6,,0,,18,,0,,,,,,13.6,,14,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-17,2021,1,17,,0.5,,-7.1,,-3.3,,21.3,,0,,,,,,0.9,,22,,27,,42,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-18,2021,1,18,,-6.9,,-14.3,,-10.6,,28.6,,0,,,,,,0,,22,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-19,2021,1,19,,-7.1,,-15.6,,-11.4,,29.4,,0,,,,,,0.7,,21,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-20,2021,1,20,,-8.6,,-16.2,,-12.4,,30.4,,0,,,,,,0.2,,21,,29,,33,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-21,2021,1,21,,-3.9,,-14.1,,-9,,27,,0,,,,,,4.2,,23,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-22,2021,1,22,,-1.7,,-12.8,,-7.2,,25.2,,0,,,,,,0,,26,,27,,34,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-23,2021,1,23,,-12.4,,-17.1,,-14.8,,32.8,,0,,,,,,0.2,,25,,27,,35,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-24,2021,1,24,,-9.9,,-19.1,,-14.5,,32.5,,0,,,,,,0,,24,,28,,32,
-75.72,45.38,OTTAWA CDA RCS,6105978,2021-01-25,2021,1,25,,-6.6,,-18.9,,-12.8,,30.8,,0,,,,,,0.2,,23,,,,,
